,,,,命中率,,,,,,,,,,,,直接攻擊,間接攻擊,廣範圍, 攻擊時使用,防禦時使用,ECM影響,移動攻擊,飛彈編號,射擊間隔
雄風Ⅱ,ASM,8,6,0,0,0,0,0,61,0,0,0,0,飛彈,50,×,○,×,○,×,○,○,0,0
KS-11,ASM,12,5,0,0,0,0,0,54,0,0,0,0,飛彈,55,×,○,×,○,×,○,○,0,0
Kh-15A,ASM,10,4,0,0,0,0,0,60,0,0,0,0,飛彈,60,×,○,×,○,×,○,○,0,0
Kh-59M,ASM,7,6,0,0,0,0,0,60,0,0,0,0,飛彈,50,×,○,×,○,×,○,○,0,0
Kh-22,ASM,14,6,0,0,0,0,0,62,0,0,0,0,飛彈,70,×,○,×,○,×,×,○,0,0
Kh-25,ASM,2,4,0,0,0,0,0,56,0,0,0,0,飛彈,20,○,○,×,○,×,○,○,0,0
Kh-31,ASM,3,7,0,0,0,0,0,55,0,0,0,0,飛彈,40,×,○,×,○,×,○,○,0,0
Kh-35,ASM,7,6,0,0,0,0,0,62,0,0,0,0,飛彈,30,×,○,×,○,×,○,○,0,0
C-802,ASM,7,5,0,0,0,0,0,58,0,0,0,0,飛彈,45,×,○,×,○,×,○,○,0,0
C-801,ASM,4,5,0,0,0,0,0,59,0,0,0,0,飛彈,35,×,○,×,○,×,○,○,0,0
C-601,ASM,7,12,0,0,0,0,0,55,0,0,0,0,飛彈,40,×,○,×,○,×,○,○,0,0
C-201,ASM,3,8,0,0,0,0,0,52,0,0,0,0,飛彈,15,×,○,×,○,×,○,○,0,0
C-101,ASM,3,8,0,0,0,0,0,44,0,0,0,0,飛彈,12,×,○,×,○,×,○,○,0,0

AS-30,ASM,1,6,0,0,0,0,0,65,0,0,0,0,飛彈,25,○,×,×,○,×,○,○,0,0
AS-15,ASM,1,4,0,0,0,0,0,64,0,0,0,0,飛彈,15,○,×,×,○,×,○,○,0,0

97式魚雷,ASub-T,1,4,0,0,0,0,0,0,82,0,0,0,魚雷,8,○,×,×,○,○,×,○,0,0
Mk.50,ASub-T,1,4,0,0,0,0,0,0,83,0,0,0,魚雷,8,○,×,×,○,○,×,○,0,0
Mk.46,ASub-T,1,4,0,0,0,0,0,0,78,0,0,0,魚雷,8,○,×,×,○,○,×,○,0,0
UMGT-1ME,ASub-T,1,4,0,0,0,0,0,0,80,0,0,0,魚雷,8,○,×,×,○,○,×,○,0,0
AT-2,ASub-T,1,4,0,0,0,0,0,0,72,0,0,0,魚雷,8,○,×,×,○,○,×,○,0,0
ECAN L-4,ASub-T,1,5,0,0,0,0,0,0,75,0,0,0,魚雷,8,○,×,×,○,○,×,○,0,0
MU-90,ASub-T,1,4,0,0,0,0,0,0,76,0,0,0,魚雷,8,○,×,×,○,○,×,○,0,0
A-244S,ASub-T,1,4,0,0,0,0,0,0,76,0,0,0,魚雷,8,○,×,×,○,○,×,○,0,0
Type451,ASub-T,1,5,0,0,0,0,0,0,78,0,0,0,魚雷,8,○,×,×,○,○,×,○,0,0
魚2,ASub-T,1,4,0,0,0,0,0,52,0,0,0,0,魚雷,7,○,×,×,○,○,×,○,0,0
魚3,ASub-T,1,10,0,0,0,0,0,46,60,0,0,0,魚雷,7,○,×,×,○,×,×,○,0,0

導引炸彈,航空大,1,6,0,0,0,86,94,65,0,0,0,3,炸彈,15,○,×,×,○,×,×,○,0,0
導引炸彈,航空攻,1,5,0,0,0,85,93,61,0,0,0,2,炸彈,10,○,×,×,○,×,×,○,0,0
導引炸彈,航空,1,3,0,0,0,80,89,60,0,0,0,2,炸彈,8,○,×,×,○,×,×,○,0,0
導引炸彈,航空B,1,3,0,0,0,68,71,74,0,0,0,1,炸彈,6,○,×,×,○,×,×,○,0,0
導引炸彈,航空C,1,3,0,0,0,71,75,57,0,0,0,1,炸彈,5,○,×,×,○,×,×,○,0,0
導引炸彈,航空D,1,3,0,0,0,65,70,52,0,0,0,1,炸彈,5,○,×,×,○,×,×,○,0,0
導引炸彈,航空E,1,3,0,0,0,64,67,50,0,0,0,1,炸彈,5,○,×,×,○,×,×,○,0,0

小型炸彈,攻擊_1,1,2,0,0,0,65,84,18,0,0,0,1,炸彈,2,○,×,×,○,×,×,○,0,0
2000lbs炸彈,轟炸_1,1,6,0,0,0,80,85,70,0,0,0,3,炸彈,80,○,×,×,○,×,×,○,0,0
2000lbs炸彈,轟炸_2,1,6,0,0,0,78,82,64,0,0,0,3,炸彈,80,○,×,×,○,×,×,○,0,0
1000lbs炸彈,轟炸_1,1,3,0,0,0,45,55,32,0,0,0,2,炸彈,20,○,×,×,○,×,×,○,0,0
1000lbs炸彈,轟炸_2,1,3,0,0,0,43,52,28,0,0,0,2,炸彈,20,○,×,×,○,×,×,○,0,0

1000lbs炸彈,攻擊_1,1,3,0,0,0,46,56,33,0,0,0,1,炸彈,2,○,×,×,○,×,×,○,0,0
1000lbs炸彈,攻擊_2,1,3,0,0,0,44,54,31,0,0,0,1,炸彈,2,○,×,×,○,×,×,○,0,0
1000lbs炸彈,攻擊_3,1,3,0,0,0,43,53,30,0,0,0,1,炸彈,2,○,×,×,○,×,×,○,0,0
500lbs炸彈,攻擊_1,1,3,0,0,0,40,50,24,0,0,0,1,炸彈,2,○,×,×,○,×,×,○,0,0
500lbs炸彈,攻擊_2,1,3,0,0,0,38,48,22,0,0,0,1,炸彈,2,○,×,×,○,×,×,○,0,0
120kg炸彈,攻擊_1,1,2,0,0,0,38,56,22,0,0,0,1,炸彈,2,○,×,×,○,×,×,○,0,0

對地火箭,攻擊,1,3,0,0,0,30,66,18,0,0,0,1,飛彈,1,○,×,×,○,×,×,○,0,0
對地火箭,攻擊_1,1,3,0,0,0,28,64,14,0,0,0,1,飛彈,1,○,×,×,○,×,×,○,0,0
對地火箭,攻擊_2,1,3,0,0,0,26,62,12,0,0,0,1,飛彈,1,○,×,×,○,×,×,○,0,0
對地火箭,攻擊_3,1,3,0,0,0,23,58,10,0,0,0,1,飛彈,1,○,×,×,○,×,×,○,0,0

20mm機關砲,航空45,1,2,0,53,56,0,0,14,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
20mm機關砲,航44J1,1,2,0,53,56,0,0,14,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0

機關槍,航44J1,1,1,0,48,52,0,0,6,0,0,0,0,通常,0,○,×,×,○,○,×,○,0,0
機關槍,航44J2,1,1,0,45,50,0,0,0,0,0,0,0,通常,0,○,×,×,×,○,×,×,0,0
機關槍,航44J3,1,1,0,42,48,0,0,0,0,0,0,0,通常,0,○,×,×,×,○,×,×,0,0

機關槍,航44A1,1,1,0,58,59,0,0,26,0,0,0,0,通常,0,○,×,×,○,○,×,○,0,0
機關槍,航44A2,1,1,0,54,56,0,0,18,0,0,0,0,通常,0,○,×,×,○,○,×,○,0,0
機關槍,航44A3,1,1,0,48,52,0,0,0,0,0,0,0,通常,0,○,×,×,×,○,×,×,0,0
機關槍,航44A4,1,1,0,42,48,0,0,0,0,0,0,0,通常,0,○,×,×,×,○,×,×,0,0

500kg炸彈,航44J1,1,3,0,0,0,42,51,44,0,0,0,1,炸彈,1,○,×,×,○,×,×,○,0,0
250kg炸彈,航44J1,1,3,0,0,0,38,45,38,0,0,0,1,炸彈,1,○,×,×,○,×,×,○,0,0
魚雷,航44J1,1,4,0,0,0,0,0,50,0,0,0,0,魚雷,8,○,×,×,○,×,×,○,0,0
魚雷,航44J2,1,4,0,0,0,0,0,49,0,0,0,0,魚雷,8,○,×,×,○,×,×,○,0,0

1000lbs炸彈,航44A1,1,3,0,0,0,40,50,42,0,0,0,1,炸彈,1,○,×,×,○,×,×,○,0,0
500lbs炸彈,航44A1,1,3,0,0,0,37,44,36,0,0,0,1,炸彈,1,○,×,×,○,×,×,○,0,0
魚雷,航44A1,1,4,0,0,0,0,0,46,0,0,0,0,魚雷,7,○,×,×,○,×,×,○,0,0






30mm機關砲,直昇機,1,2,0,0,42,49,65,12,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
30mm機關砲,直昇機_2,1,2,0,0,41,45,64,10,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
30mm機關砲,直昇機_3,1,2,0,0,39,43,62,8,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
23mm機關砲,直昇機,1,2,0,0,45,20,48,6,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
20mm機關砲,直昇機,1,2,0,0,40,33,62,8,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
20mm機關砲,直昇機_2,1,2,0,0,36,30,60,6,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
20mm機關砲,直昇機_3,1,2,0,0,34,28,58,6,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
40mm榴彈,直昇機,1,2,0,0,0,47,67,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
迷你砲,直昇機,1,2,0,0,28,14,64,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
機關槍,直昇機,1,1,0,0,24,11,58,0,0,0,0,0,通常,0,○,×,×,○,○,×,○,0,0
機關槍,直昇機_2,1,1,0,0,16,8,56,0,0,0,0,0,通常,0,○,×,×,○,○,×,○,0,0

JCM,hATM,3,5,0,0,0,80,34,52,0,0,0,0,飛彈,20,○,○,×,○,×,×,○,0,0
AGM-114 地獄火,hATM,2,4,0,0,0,76,36,50,0,0,0,0,飛彈,12,○,○,×,○,×,○,○,0,0
BGM-71 TOW,hATM,1,3,0,0,0,73,20,47,0,0,0,0,飛彈,10,○,×,×,○,×,○,○,0,0
Rb.55,hTOW,1,3,0,0,0,73,20,47,0,0,0,0,飛彈,10,○,×,×,○,×,○,○,0,0
Mokopa,hATM,1,3,0,0,0,73,20,47,0,0,0,0,飛彈,10,○,×,×,○,×,○,○,0,0
ATGW-3　TRIGAT,hATM,1,3,0,0,0,80,18,48,0,0,0,0,飛彈,12,○,×,×,○,×,○,○,0,0
HOT,hATM,1,3,0,0,0,74,21,48,0,0,0,0,飛彈,10,○,×,×,○,×,○,○,0,0
紅箭10,hATM,1,3,0,0,0,74,20,45,0,0,0,0,飛彈,8,○,×,×,○,×,○,○,0,0
紅箭8,hATM,1,3,0,0,0,70,18,42,0,0,0,0,飛彈,8,○,×,×,○,×,○,○,0,0
米蘭,hATM,1,3,0,0,0,72,15,44,0,0,0,0,飛彈,8,○,×,×,○,×,○,○,0,0

9M120,hAT-16,1,3,0,0,0,73,20,47,0,0,0,0,飛彈,10,○,×,×,○,×,○,○,0,0
9M114,hAT-6,1,3,0,0,0,75,20,48,0,0,0,0,飛彈,10,○,×,×,○,×,○,○,0,0
9M17P ,hAT2沙塔,1,3,0,0,0,64,10,28,0,0,0,0,飛彈,5,○,×,×,○,×,○,○,0,0
9M14M 馬榴卡,hAT3沙迦,1,3,0,0,0,62,10,25,0,0,0,0,飛彈,4,○,×,×,○,×,○,○,0,0
紅箭73,h沙迦爾,1,3,0,0,0,60,10,24,0,0,0,0,飛彈,4,○,×,×,○,×,○,○,0,0

AIM-9L響尾蛇,hAAM,1,3,0,26,74,0,0,0,0,0,0,0,飛彈,8,○,×,×,○,○,×,○,0,0
AIM-92 刺針,hAAM,1,3,0,20,72,0,0,0,0,0,0,0,飛彈,8,○,×,×,○,○,×,○,0,0
西北風,hAAM,1,3,0,21,72,0,0,0,0,0,0,0,飛彈,8,○,×,×,○,○,×,○,0,0
9M313 伊格拉1,hSA-16,1,3,0,21,72,0,0,0,0,0,0,0,飛彈,8,○,×,×,○,○,×,○,0,0
QW-3,hAAM,1,3,0,20,71,0,0,0,0,0,0,0,飛彈,8,○,×,×,○,○,×,○,0,0

飛魚 AM39,hASM,5,5,0,0,0,0,0,64,0,0,0,0,飛彈,35,×,○,×,○,×,○,○,0,0
AS-15,hASM,1,4,0,0,0,0,0,64,0,0,0,0,飛彈,15,○,×,×,○,×,○,○,0,0
海刺,hASM,1,4,0,0,0,0,0,62,0,0,0,0,飛彈,15,○,×,×,○,×,○,○,0,0






152mm砲,多功能砲,1,3,0,0,0,46,64,18,0,0,0,0,大砲,1,○,×,×,○,○,×,○,0,0
140mm滑膛砲,戰車砲,1,4,0,0,0,75,64,29,0,0,0,0,大砲,1,○,×,×,○,○,×,○,0,0
120mm滑膛砲,FCS,2,4,0,0,0,75,58,26,0,0,0,0,大砲,1,○,○,×,○,○,×,○,0,0

120mm滑膛砲,戰車L55,1,4,0,0,0,76,58,26,0,0,0,0,大砲,1,○,×,×,○,○,×,○,0,0
120mm滑膛砲,戰車L55B,1,4,0,0,32,75,58,26,0,0,0,0,大砲,1,○,×,×,○,○,×,○,0,0
120mm滑膛砲,戰車L52A,1,4,0,0,0,73,60,26,0,0,0,0,大砲,1,○,×,×,○,○,×,○,0,0
120mm滑膛砲,戰車L52B,1,4,0,0,0,70,60,26,0,0,0,0,大砲,1,○,×,×,○,○,×,○,0,0
120mm滑膛砲,戰車L52F,1,4,0,0,0,71,59,26,0,0,0,0,大砲,1,○,×,×,○,○,×,○,0,0
120mm滑膛砲,戰車L50,1,4,0,0,0,70,60,26,0,0,0,0,大砲,1,○,×,×,○,○,×,○,0,0
120mm滑膛砲,戰車L44S,1,4,0,0,0,72,60,26,0,0,0,0,大砲,1,○,×,×,○,○,×,○,0,0
120mm滑膛砲,戰車X,1,4,0,0,0,75,60,26,0,0,0,0,大砲,1,○,×,×,○,○,×,○,0,0
120mm滑膛砲,戰車L44A,1,4,0,0,0,71,60,26,0,0,0,0,大砲,1,○,×,×,○,○,×,○,0,0
120mm滑膛砲,戰車L44B,1,4,0,0,0,70,58,26,0,0,0,0,大砲,1,○,×,×,○,○,×,○,0,0
120mm滑膛砲,戰車L44g,1,4,0,0,0,68,60,26,0,0,0,0,大砲,1,○,×,×,○,○,×,○,0,0
