,,使用,高度,移動類型,兵器類型,性能,編成數,耐久度,生產回合,生產計數,特殊能力,,,,,,,,,,,掃除地雷,掃除機雷,夜間減少率,索敵範圍,,,,,,迎擊範圍,,,,,,價格,搭載種類,,,,,,,,,,,,,,,,搭乘種類,搭載地點,回避力,,,,,,,補給,,,,,,,,,初期武裝套組,變形編號,武裝１,副屬,攻擊判定次數,裝填時間,武裝２,副屬,攻擊判定次數,裝填時間,武裝３,副屬,攻擊判定次數,裝填時間,武裝４,副屬,攻擊判定次數,裝填時間,武裝５,副屬,攻擊判定次數,裝填時間,武裝套組１,,,,,,高速移動力,ECM回避力,,武裝套組２,,,,,,高速移動力,ECM回避力,,武裝套組３,,,,,,高速移動力,ECM回避力,,武裝套組４,,,,,,高速移動力,ECM回避力,,圖像編號,兵器移動聲,地圖圖像,地圖圖像小,兵器別圖示
12,F-16IＳｕｆａ,○,高空,高空,戰鬥機,0,10,2,3,10,0,0,0,0,×,×,×,×,×,○,×,×,×,70,4,4,3,2,2,1,3,3,3,0,0,0,580,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,41,41,45,35,35,34,34,○,×,×,×,×,×,×,×,×,0,0,達比,ARAAM,1,10,巨蟒5,IRAAM,1,8,導引炸彈,航空,1,20,20mm火神砲,航空戰,2,6,,,,,1,2,0,3,0,13,17,0,110,1,0,2,3,0,12,16,0,90,3,0,0,3,0,13,17,0,90,0,0,0,0,0,0,0,0,0,12,0,1,1,240
14,F-16C戰鬥獵鷹,○,高空,高空,戰鬥機,0,10,2,3,10,0,0,0,0,×,×,×,×,×,○,×,×,×,60,3,4,3,2,2,1,2,3,2,0,0,0,500,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,41,41,45,35,35,34,34,○,×,×,×,×,×,×,×,×,0,0,AIM-120 AMRAAM,ARAAM,1,10,AIM-9L響尾蛇,IRAAM,1,8,導引炸彈,航空C,1,20,AGM-84 魚叉,ASM,1,25,20mm火神砲,航空戰,2,6,1,2,0,0,3,13,17,0,90,0,1,2,0,3,12,16,0,80,0,1,0,1,3,12,16,12,90,0,0,0,0,0,0,0,0,0,14,0,1,1,204
15,F-16閃電,○,高空,高空,戰鬥機,0,10,2,3,10,0,0,0,0,×,×,×,×,×,○,×,×,×,60,3,4,3,2,2,1,2,3,2,0,0,0,550,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,41,41,45,35,35,34,34,○,×,×,×,×,×,×,×,×,0,0,AIM-120 AMRAAM,ARAAM,1,10,巨蟒4,IRAAM,1,8,導引炸彈,航空C,1,20,20mm火神砲,航空戰,2,6,,,,,1,2,0,3,0,13,17,0,90,1,0,2,3,0,12,16,0,70,3,0,0,3,0,13,17,0,90,0,0,0,0,0,0,0,0,0,15,0,1,1,227
18,F-16 戰鬥獵鷹,○,高空,高空,戰鬥機,0,10,2,3,8,0,0,0,0,×,×,×,×,×,○,×,×,×,40,2,4,3,2,2,1,0,0,0,0,0,0,450,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,40,40,44,35,35,34,34,○,×,×,×,×,×,×,×,×,0,0,AIM-9L響尾蛇,IRAAM,1,8,1000lbs炸彈,攻擊_2,1,16,AGM-65 小牛,aATM,1,12,20mm火神砲,航空戰B,2,6,,,,,3,0,0,3,0,13,17,0,70,1,2,0,3,0,12,16,0,60,0,0,2,3,0,12,16,0,60,0,0,0,0,0,0,0,0,0,18,0,1,1,205
19,F-16 Ｎｅｔｚ,○,高空,高空,戰鬥機,0,10,2,3,8,0,0,0,0,×,×,×,×,×,○,×,×,×,40,2,4,3,2,2,1,0,0,0,0,0,0,450,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,40,40,44,35,35,34,34,○,×,×,×,×,×,×,×,×,0,0,巨蟒4,IRAAM,1,8,1000lbs炸彈,攻擊_2,1,16,AGM-65 小牛,aATM,1,12,20mm火神砲,航空戰B,2,6,,,,,3,0,0,3,0,13,17,0,70,1,2,0,3,0,12,16,0,60,0,0,2,3,0,12,16,0,60,0,0,0,0,0,0,0,0,0,19,0,1,1,228
22,F-14D 雄貓,○,高空,高空,戰鬥機,0,10,2,3,12,0,0,0,0,×,×,×,×,×,○,×,×,×,70,5,6,5,2,2,1,4,4,3,0,0,0,850,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,艦載機,無,38,38,40,30,30,34,34,○,×,×,×,×,×,○,×,×,0,0,AIM-54 鳳凰,AAM,1,15,AIM-7M 麻雀,AAM,1,10,AIM-9L響尾蛇,IRAAM,1,8,導引炸彈,航空C,1,20,20mm火神砲,航空戰B,2,6,0,2,2,0,3,13,16,0,80,0,1,2,2,3,12,16,0,70,2,1,1,0,3,12,16,0,100,3,0,1,0,3,12,16,0,90,22,0,1,1,206
23,F-14 雄貓,○,高空,高空,戰鬥機,0,10,2,3,10,0,0,0,0,×,×,×,×,×,○,×,×,×,60,5,6,3,2,2,1,4,4,2,0,0,0,650,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,艦載機,無,38,38,40,30,30,34,34,○,×,×,×,×,×,○,×,×,0,0,AIM-54 鳳凰,AAM,1,15,AIM-7F 麻雀,AAM,1,10,AIM-9L響尾蛇,IRAAM,1,8,20mm火神砲,航空戰B,2,6,,,,,2,1,1,3,0,12,16,0,100,0,2,2,3,0,13,16,0,80,3,0,1,3,0,12,16,0,90,0,0,0,0,0,0,0,0,0,23,0,1,1,103
24,F-14 雄貓,○,高空,高空,戰鬥機,0,10,2,3,10,0,0,0,0,×,×,×,×,×,○,×,×,×,60,5,6,3,2,2,1,4,4,2,0,0,0,650,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,艦載機,無,38,38,40,30,30,34,34,○,×,×,×,×,×,○,×,×,0,0,AIM-54 鳳凰,AAM,1,15,AIM-7F 麻雀,AAM,1,10,AIM-9D響尾蛇,IRAAM,1,8,20mm火神砲,航空戰B,2,6,,,,,0,1,2,3,0,13,16,0,80,1,0,2,3,0,12,16,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,1,104
26,F-4E 幽靈Ⅱ,○,高空,高空,戰鬥機,0,10,2,3,8,0,0,0,0,×,×,×,×,×,○,×,×,×,40,2,4,3,2,2,1,2,2,0,0,0,0,400,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,35,35,38,31,31,34,34,○,×,×,×,×,×,○,×,×,0,0,AIM-7F 麻雀,AAM,1,10,AIM-9D響尾蛇,IRAAM,1,8,AGM-65 小牛,aATM,1,12,導引炸彈,航空E,1,20,20mm火神砲,航空戰B,2,6,2,2,0,0,3,13,17,0,100,0,2,3,0,3,12,16,0,70,0,2,0,3,3,12,16,0,80,0,0,0,0,0,0,0,0,0,26,0,1,1,207
27,F-4J 幽靈Ⅱ,○,高空,高空,戰鬥機,0,10,2,3,8,0,0,0,0,×,×,×,×,×,○,×,×,×,40,2,4,3,2,2,1,2,2,0,0,0,0,400,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,艦載機,無,35,35,38,31,31,34,34,○,×,×,×,×,×,○,×,×,0,0,AIM-7F 麻雀,AAM,1,10,AIM-9D響尾蛇,IRAAM,1,8,導引炸彈,航空E,1,20,對地火箭,攻擊_2,1,10,,,,,2,2,0,0,0,13,17,0,100,0,2,3,0,0,12,16,0,70,0,2,0,4,0,13,17,0,80,0,0,0,0,0,0,0,0,0,27,0,1,1,241
28,F-4EJ改幽靈Ⅱ,○,高空,高空,戰鬥機,0,10,2,3,10,0,0,0,0,×,×,×,×,×,○,×,×,×,50,2,4,3,2,2,1,2,2,0,0,0,0,480,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,37,37,42,32,32,34,34,○,×,×,×,×,×,×,×,×,0,0,AIM-7M 麻雀,AAM,1,10,AIM-9L響尾蛇,IRAAM,1,8,導引炸彈,航空B,1,20,ASM-2,ASM,1,25,20mm火神砲,航空戰B,2,6,2,2,0,0,3,13,17,0,100,0,2,3,0,3,12,16,0,70,0,2,0,1,3,12,16,12,90,0,0,0,0,0,0,0,0,0,28,0,1,1,201
29,F-4K幽靈FG.1,○,高空,高空,戰鬥機,0,10,2,3,8,0,0,0,0,×,×,×,×,×,○,×,×,×,40,2,4,3,2,2,1,2,3,0,0,0,0,420,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,艦載機,無,35,35,38,31,31,34,34,○,×,×,×,×,×,○,×,×,0,0,天光,AAM,1,10,AIM-9D響尾蛇,IRAAM,1,8,1000lbs炸彈,攻擊_2,1,16,對地火箭,攻擊_2,1,10,,,,,2,2,0,0,0,12,16,0,100,0,2,3,0,0,12,16,0,70,0,2,0,4,0,12,16,0,80,0,0,0,0,0,0,0,0,0,29,0,1,1,241
30,F-4F-ICE 幽靈Ⅱ,○,高空,高空,戰鬥機,0,10,2,3,10,0,0,0,0,×,×,×,×,×,○,×,×,×,50,2,4,3,2,2,1,2,3,2,0,0,0,520,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,38,38,43,32,32,34,34,○,×,×,×,×,×,×,×,×,0,0,AIM-120 AMRAAM,ARAAM,1,10,AIM-9L響尾蛇,IRAAM,1,8,導引炸彈,航空D,1,20,20mm火神砲,航空戰B,2,6,,,,,2,2,0,3,0,13,17,0,100,0,2,2,3,0,12,16,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,1,219
31,F-4E 重槌2000,○,高空,高空,戰鬥機,0,10,2,3,10,0,0,0,0,×,×,×,×,×,○,×,×,×,50,2,4,3,2,2,1,2,2,0,0,0,0,420,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,38,38,42,33,33,34,34,○,×,×,×,×,×,×,×,×,0,0,AIM-7M 麻雀,AAM,1,10,巨蟒4,IRAAM,1,8,導引炸彈,航空D,1,20,加百列3AS,ASM,1,25,20mm火神砲,航空戰B,2,6,2,2,0,0,3,13,17,0,100,0,2,3,0,3,12,16,0,70,0,1,0,2,3,12,16,12,70,0,0,0,0,0,0,0,0,0,31,0,1,1,229
32,F-4EJ幽靈Ⅱ,○,高空,高空,戰鬥機,0,10,2,3,8,0,0,0,0,×,×,×,×,×,○,×,×,×,40,2,4,3,2,2,1,2,2,0,0,0,0,380,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,35,35,38,31,31,34,34,○,×,×,×,×,×,○,×,×,0,0,AIM-7F 麻雀,AAM,1,10,AIM-9D響尾蛇,IRAAM,1,8,500lbs炸彈,攻擊_2,1,15,20mm火神砲,航空戰B,2,6,,,,,2,2,0,3,0,13,17,0,100,0,2,3,3,0,12,16,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,1,201
33,F-4F幽靈Ⅱ,○,高空,高空,戰鬥機,0,10,2,3,8,0,0,0,0,×,×,×,×,×,○,×,×,×,40,2,4,3,2,2,1,2,2,0,0,0,0,400,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,35,35,38,31,31,34,34,○,×,×,×,×,×,○,×,×,0,0,AIM-7F 麻雀,AAM,1,10,AIM-9D響尾蛇,IRAAM,1,8,AGM-65 小牛,aATM,1,12,1000lbs炸彈,攻擊_2,1,16,20mm火神砲,航空戰B,2,6,2,2,0,0,3,13,17,0,100,0,2,3,0,3,12,16,0,70,0,2,0,3,3,12,16,0,80,0,0,0,0,0,0,0,0,0,33,0,1,1,219
35,F-8十字軍,○,高空,高空,戰鬥機,0,10,2,3,6,0,0,0,0,×,×,×,×,×,○,×,×,×,40,2,3,3,2,2,1,0,0,0,0,0,0,350,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,艦載機,無,35,35,44,30,30,33,33,○,×,×,×,×,×,○,×,×,0,0,AIM-9B響尾蛇,IRAAM,1,8,對地火箭,攻擊_3,1,10,20mm機關砲,航空戰,2,6,,,,,,,,,2,0,3,0,0,13,17,0,60,1,2,3,0,0,12,16,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1,1,224
36,F-8E(FN) 十字軍,○,高空,高空,戰鬥機,0,10,2,3,6,0,0,0,0,×,×,×,×,×,○,×,×,×,40,2,3,3,2,2,1,0,0,0,0,0,0,350,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,艦載機,無,35,35,44,30,30,33,33,○,×,×,×,×,×,○,×,×,0,0,R-530,AAM,1,8,對地火箭,攻擊_3,1,10,20mm機關砲,航空戰,2,6,,,,,,,,,2,0,3,0,0,13,17,0,60,1,2,3,0,0,12,16,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1,1,224
39,X-29,○,高空,高空,戰鬥機,0,10,2,3,10,0,0,0,0,×,×,×,×,×,○,×,×,×,40,2,4,3,2,2,1,0,0,0,0,0,0,450,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,43,43,47,33,33,34,34,○,×,×,×,×,×,×,×,×,0,0,AIM-7M 麻雀,AAM,1,10,20mm機關砲,航空戰,2,6,,,,,,,,,,,,,1,3,0,0,0,12,16,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,1,1,242
40,F-20虎鯊,○,高空,高空,戰鬥機,0,10,2,3,8,0,0,0,0,×,×,×,×,×,○,×,×,×,50,2,4,3,2,2,1,2,2,0,0,0,0,460,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,37,37,42,33,33,34,34,○,×,×,×,×,×,×,×,×,0,0,AIM-7M 麻雀,AAM,1,10,AIM-9L響尾蛇,IRAAM,1,8,1000lbs炸彈,攻擊_2,1,16,20mm機關砲,航空戰,2,6,,,,,1,1,0,3,0,12,16,0,60,0,1,2,3,0,10,14,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1,1,243
42,F-5E 虎式Ⅱ,○,高空,高空,戰鬥機,0,10,2,3,6,0,0,0,0,×,×,×,×,×,○,×,×,×,40,2,3,3,2,2,1,0,0,0,0,0,0,380,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,35,35,38,33,33,34,34,○,×,×,×,×,×,×,×,×,0,0,AIM-9D響尾蛇,IRAAM,1,8,1000lbs炸彈,攻擊_3,1,16,20mm機關砲,航空戰B,2,6,,,,,,,,,2,0,3,0,0,12,16,0,60,1,2,3,0,0,10,14,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,1,1,234
45,F-5A 自由鬥士,○,高空,高空,戰鬥機,0,10,2,3,6,0,0,0,0,×,×,×,×,×,○,×,×,×,30,1,3,3,2,2,1,0,0,0,0,0,0,300,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,33,33,38,31,31,32,32,○,×,×,×,×,×,×,×,×,0,0,AIM-9D響尾蛇,IRAAM,1,8,1000lbs炸彈,攻擊_3,1,16,20mm機關砲,航空戰B,2,6,,,,,,,,,2,0,3,0,0,12,16,0,55,1,2,3,0,0,10,14,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,1,244
46,NF-5A,○,高空,高空,戰鬥機,0,10,2,3,6,0,0,0,0,×,×,×,×,×,○,×,×,×,50,2,3,3,2,2,1,0,0,0,0,0,0,400,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,37,37,42,33,33,34,34,○,×,×,×,×,×,×,×,×,0,0,AIM-9L響尾蛇,IRAAM,1,8,1000lbs炸彈,攻擊_2,1,16,20mm機關砲,航空戰B,2,6,,,,,,,,,2,0,3,0,0,12,16,0,60,1,2,3,0,0,10,14,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,1,1,237
48,F-104S 星辰鬥士,○,高空,高空,戰鬥機,0,10,2,3,6,0,0,0,0,×,×,×,×,×,○,×,×,×,50,2,3,3,2,2,1,0,0,0,0,0,0,350,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,33,33,37,30,30,31,31,○,×,×,×,×,×,×,×,×,0,0,AIM-9D響尾蛇,IRAAM,1,8,1000lbs炸彈,攻擊_3,1,16,對地火箭,攻擊_3,1,10,,,,,,,,,2,0,0,0,0,13,17,0,80,1,2,0,0,0,12,16,0,70,1,0,3,0,0,13,17,0,80,0,0,0,0,0,0,0,0,0,48,0,1,1,312
49,F-104J 星辰鬥士,○,高空,高空,戰鬥機,0,10,2,3,6,0,0,0,0,×,×,×,×,×,○,×,×,×,50,2,3,3,2,2,1,0,0,0,0,0,0,300,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,33,33,37,30,30,31,31,○,×,×,×,×,×,×,×,×,0,0,AIM-9B響尾蛇,IRAAM,1,8,20mm火神砲,航空戰B,2,6,,,,,,,,,,,,,2,3,0,0,0,13,17,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,1,1,312
50,F-104G 星辰鬥士,○,高空,高空,戰鬥機,0,10,2,3,6,0,0,0,0,×,×,×,×,×,○,×,×,×,50,2,3,3,2,2,1,0,0,0,0,0,0,330,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,33,33,37,30,30,31,31,○,×,×,×,×,×,×,×,×,0,0,AIM-9B響尾蛇,IRAAM,1,8,1000lbs炸彈,攻擊_3,1,16,對地火箭,攻擊_3,1,10,20mm火神砲,航空戰B,2,6,,,,,2,0,0,3,0,13,17,0,70,1,2,0,3,0,12,16,0,50,1,0,2,3,0,13,17,0,70,0,0,0,0,0,0,0,0,0,50,0,1,1,312
52,F-100D 超級軍刀,○,高空,高空,戰鬥機,0,10,2,3,6,0,0,0,0,×,×,×,×,×,○,×,×,×,30,1,3,3,2,2,1,0,0,0,0,0,0,280,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,33,33,38,28,28,30,30,○,×,×,×,×,×,×,×,×,0,0,AIM-9B響尾蛇,IRAAM,1,8,AGM-12 犢牛,aATM,1,16,1000lbs炸彈,攻擊_3,1,16,20mm機關砲,航空戰B,2,6,,,,,2,0,0,3,0,10,14,0,50,1,1,3,0,0,9,11,0,45,0,0,2,3,0,9,11,0,45,0,0,0,0,0,0,0,0,0,52,0,1,1,245
55,F-86軍刀,○,高空,高空,戰鬥機,0,10,2,3,6,0,0,0,0,×,×,×,×,×,○,×,×,×,30,1,3,3,2,2,1,0,0,0,0,0,0,220,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,33,33,38,27,27,29,29,○,×,×,×,×,×,×,×,×,0,0,AIM-9B響尾蛇,IRAAM,1,8,1000lbs炸彈,攻擊_3,1,16,機關槍,航空戰,2,10,,,,,,,,,1,0,3,0,0,9,11,0,40,0,1,3,0,0,8,10,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,1,1,246
